essay,emotion
read article somebody named kylie jenner evidently sort makeup line something anyway evidently must popular reason people making counterfeit cosmetics selling brand put message buy direct website guess sucker born every minute,neutral
read article typhoon meranti article said storm passed taiwan without actually hitting island suppose good thing evidently another storm typhone morakot killed bunch people billions dollars damage glad live somewhere inclement weather like must miserable live island hot crowded,neutral
read asshole arcan cetin shot mall oak harbor washington evidently shooting placed firearm order charged domestic assault guess goes show gun laws pointless joke guy decent law abiding person gun law would needed criminal murderer law anything stop shooting mall,disgust
read young male wolf shot dead walking miles search mate seems pretty awful thinking different paths wolf walked along journey see end disaster apparently government sniper killed sure government snipers kill wolves posing direct threat course animals must killed see wolf threatening anyway seems dishonorable,sadness
heard huge fires burning indonesia area haze clouds producing realize bad apparently statistical study says people killed researchers tried count early deaths got figure suspect root problem corruption business owners indonesia malaysia extremely rich act impunity even though actions cause great harm environment humans near far maybe charged crimes deaths hand dislike idea people convicted crimes via statistical analysis easy manipulate,surprise
apparently another christian murdered muslim land excuse blasphemed really shared anti isis cartoon wonder religious minorities syria supported assad least protects probably committed atrocities seems every side committed atrocities murder jordan even though jordanian royals come urbane westerners obviously undercurrent extreme islamism population christians murdered time around world rarely gets attention us media completely corrupt,anger
whole police violence blacks theme overplayed manipulate people fact really problem police feeling justified shooting people whenever feel threatened happen blacks think four cases top head innocent unarmed white men killed police one recent case guy died victim swatting involved crime police burst house guns blazing died cop prosecuted hope blacks care issue realize manipulated join forces others want live police state,anger
apparently lot wildfires appalachia area seems people going try spin climate change story seems every single negative event attributed climate change media even try make argument inserts insinuations used believe global warming deadly threat humanity look things many extremely dubious elements official story know think even official story true obvious issue routinely used political purposes know true vast swath temperature readings corrected people even know issue,sadness
funny always comes gun person wielding people always able get guns legally issue society treatment young men many single moms many kids ostracized bullied yeah gun fault gun damned gave one liberal fascists,disgust
happens take people archaic civilization refugees need throw back mud pit religion embraces hatred let figure live peace countries allow civilized world think europe doomed,sadness
seems like conspiracy reach medical exams either lying bodies really never examined poles reason distrust russia russia favors country world trust long history conflict reason polish jokes america decades ago started russian racism towards poles,anger
sleep much little else new sure high priced drug solve issue scientists government america care less average citizen look food supply look drugs want us take money nothing concern well,anger
money corporate america strikes leech much money working class possible sit office finger banging secretary lies misdirection revealed fat cat takes blame along millions dollars hush money working class thrown wolves blamed misdeeds,anger
story shooting airport absolutely breaking heart reason violent gun actions continue go imagine dad friend family member imagine victims family going right poor people airport must frenzy scary know going especially everyone knew gunman dead one cowards acts caused much turmoil upheaval many people imagine money wasted stupid choices flights cancelled rearranged police officers time wish could understand thinking mess,anger
know spread cholera terrible idea still daunting issue many people face agree line article said idea people still dying cholera outrageous feel heartbroken people dying simply clean water appropriate medical care,sadness
believe family done girls treated children heinously insane police anything basically forced media appreciate things happened later help girls unfair breaks heart,sadness
aware certain refuges helped accepted imagine heart break endure traveling far thinking safe turned around denied whole system flawed appropriate help people many unfair hurdles go,sadness
poor woman hope able recover hate hear anyone accident see three cars involved wonder one critically injured guess least three people involved one seriously injured worst odds,sadness
apparently sea ice becoming less less concern four environment think affect animals ocean cannot good ecosystem contrast article remember seeing whale die ice thick trapped perhaps neither good fix,sadness
read article gold fish wild wow learned lot apparently overload gold fish lakes rivers bad fish earth bad earth messes sediments swim low bottom also bad fish bread big waters bodies grow big football weigh pounds even healthy say best way get rid healthy fish bring back pet store flush sick dead fish put ice slush article really sad disturbing read time,sadness
article sad guess isis killed many people recently israel rude many people high tension worried bombs traps set recovering looking bodies said people isis dumped bodies trash,sadness
today read vaughn actor really know name watched heard shows movies today heard died age due lukemia sad lose well respected actor guess parents divorced young age gave genes act,sadness
sad today read lady passed away november shared many stories experiences holocaust sad think many people left share stories remember junior high hearing someone speak think kids days never get thankfully museums people attend hear get closer truly happened back,sadness
first article never appeared generic place holders nothing write answered questions emotions based feel right writing explain article hope following articles appear able finish survey intended,neutral
seem silly people committed relationships still affected donating ban also understand ban put place trouble anything try protect people others rights seem always infringed forced decide offense greater important see someone tested found clean give blood understand especially emergency things easily get overlooked ban good idea,joy
reading story think right decision made seems man reason shoot kids playing loud music sure music annoying one deserves shot think changes need made stand ground laws simple case someone making poor choices needs pay price actions,neutral
shame much violence takes place year think different factions would finally agree disagree move instead seem want keep killing understand since many different groups want destroy side leaving smaller nations like yemen defend since factions seem unable leave peace,sadness
overall problem seems overuse resources certain area needs stopped simply pumping water issue perhaps fact many people trying use water source something looked also sort testing filtering system put place protect people,anger
imagine must like people caught helpless must felt recourse long one anything right wrongs feeling like ok abused go long happen many people maybe feel kind closure though,sadness
reading infuriating see casual disregard life animals protecting pursuit money snake oil cures asia superstitious nonsense rich people wanting feel powerful security teams seem like impossible position restrained rules opponents none miserable situation,anger
may make sound horrible torn one suffer like crime theft barbaric really twenty something part armed gang slightly less sympathetic victims retaliating child however insanity horrifying,sadness
sort sadly ironic see part think win considering followed sadly still rings true day day apology doubling kind bile arrogance ignorance display since day one feel bad every woman country live someone like president,sadness
horrifying going business someone takes issue suddenly dead maybe even interact decided kill fun deeply troubling makes suspicious every stranger street also feel bad witness time anything stop imagine feel guilty even though helped,fear
pretty strong thoughts feelings read feel like tragic situation us society taking advantage trees order protect environment make environment better need take care opinion morally ethnically wrong need better job taking care nature understand blame volcanoes hawaii feel like us humans way damage mother nature brings,disgust
article greatly disturbs fact treat muslims people culture like dogs terrorist disgusting wrong morally ethically way shown tv media wrong horrible president thinks ban muslims country sudden nation safe fact matter shootings happen country caucasians muslims shown bad light due extremist deserve treatment,disgust
article awful boko haram extremist group needs stopped means necessary fact matter people using religion excuse rape kill woman children thats one unmoral unethical things think poor women children kidnapped drugged also dealing raped loved ones killed awful tragic issue something needs shown throughout entire world people bad need stopped,disgust
honest opinion believe russia syria peaceful countries syria corrupt dishonest government officials world fact russia defended everything disturbing alarming know like think trump putin bed together really case syria people goes beyond words describe russia defend actions almost equally disgusting,disgust
awful news article us society need better job protecting helping planet animals mammals surround fact almost percent caimans suspected dead alarming people informed matters rate extinction animals mammals going planet extremely alarming figure people concerned even aware matter need better job protecting living matter planet,fear
try decrease global warming sake polar bear population human population well please read article polar bears problems face issues must endure related global warming article descriptive explains issues well worth reading sharing others bring exposure plight polar bears,sadness
wow dare person hurt poor flamingo reason would random dude go busch gardens abuse bird minding business poor bird euthanized injuries bird years old seems may sort background check mental health testing even allowed visit place like unbelievable way things happen soooo sad,disgust
imagine forced live violent place place life risk day everyday poor people learned live extreme fear everyday imagine purposely bringing babies world happening live would never purpose bring another life kind situation god bless poor souls,fear
oh goodness check article interesting also sad poor guy trying job sounds like terrible way die nothing else maybe new improved safety measures put place protect next person recycling job hope family gets attorney tries get sort money untimely death,sadness
read article happened georgia live saw massive amounts news coverage related case personally believe guy guilty many things said add seems wanted get rid kid leave wife live free lifestyle see possible way know kid car poor kid,anger
feel muslim areas dire need help feel sad alarmed know citizens helpless know turn help easy live area never know wake village raided women raped worry child dragged military political rebels groups many people america realize much freedom safety peace living country never experienced peril people muslim countries experience sure many live terror fear unknown could actually reality life many poor villages citizens options find way,sadness
venezuela many sister countries going crisis due drops oil prices loss income country received drop citizens ones paying hungry issues people enough food starving political powers corrupt counted help fighting rebels rampant crime heart breaks people anyone turn help feel powerless hungry scared,sadness
necessarily agree stance feel trump help country move forth improve economically trump ideal president much better choice clinton opinion better candidate feel like obama joke president really years presidency remembered obamacare positive opinion say really think moore page difference opinions,anger
woman really sympathize women find difficult imagine go woman get vague idea would hate think male escort left home treated equals often men even consider equal family pet lt many women abused physically sexually considered problem abuser hope able win petition able bit freedom,sadness
know much media police brutality many police officers believe law common citizens rights interacting unfortunately sad say even citizen innocent cooperate fullest police physically harm even possibly lead shot killed scary believe officers like one many,sadness
terrible bus crash near town grew looks like black sedan hit bus people hurt apparently injured people taken nearby hospital used work word released condition individuals sure hope one know one seriously hurt please say prayer involved grateful lives lost,sadness
bothered upset elementary school teacher charged child pornography cannot believe trusted individual would commit heinous crime involving children infuriates core someone could hurt innocent children way make mad really feel parents children involved hope permanent damage sweet babies,anger
know much cricket apparently england big deal one town team gun win championship needs points pull imagine pressure coach players must fierce competition wonder big fan base sports states,surprise
ugh seen going new delhi air pollution horrible many people getting seriously sick calling city gas chamber air quality bad glad deal around really feel children affected imagine helpless parents feel nothing help kids,sadness
unrest middle east really concerned son deployed much going saudi arabia neighboring countries worried end right middle please say prayer safe nothing bad happens,fear
wow sure fuck much say stupid article news story guess try think something also something would share want share anyone know relevant people know care something would choose read either ok seen article dad killed daughter molester apparently molested young guy went jail year half let many years later dad went shot guy pretty much know sending think think boring interested,anger
share anyone interesting people know seen article sudden rise tiger murders poachers pretty shitty still goes people going horrible kinds reasons nothing going change think think interesting article thoughts,surprise
hey another article sending good reason since neither us interested kind thing looks like people died shitty reasons maybe still alive anything people love idea things ok get better people fucking love stuff think bit hen rescued place haha think,joy
yo hope ready read long ass article things make difference election things enough people decided fucking matter another take look asshole trump totally true nothing changed things like see reason rehashing trump real mother fucker white man enough assholes voted anyway please enjoy yet another garbage article,anger
oh hey check another article thing repeated really changing anything sending idiot care think goes meat production harming environment wait lab grown meat standard really read away cow farts,anger
hi believe careful never know kind damage receive eyes infections would never want happen daughter really take care lenses prevent damage,fear
really saddened happening brazil stand type damage happening nature citizens world really step efforts happen often little little try reverse damage done better good,sadness
hey friend check article best protect loved ones zika know wife pregnant paid close attention news order date developments really sad see children born microphely really hope something done,sadness
really feel bad yemeni people already unfortunate enough civil unrest gotten worse many people dying really pray order peace comes country feel family members sick wounded dead,sadness
think situation less quickly resolved temporary issue really believe gas prices go back normal think much worry remember happened around crisis back everything settled rather quickly,neutral
shock read first would need lot time reflect transpired article read please read try get sad get sad try find someone love hold onto take granted,surprise
shock read migrants attempting make better life ironically met untimely unexpected end must think poor people forced flee find better lives must learn accept instead forced survive,surprise
really hate isis continue stain society committing atrocities condemned every nation world must stopped costs must destroyed wont hurt another soul poor people trying survive get killed imprisoned brainwashed joining seems way stop,anger
pipeline seems interfering native american tribes causing lots enviornmental damage feel individuals important get help deserve anscestors decimated throughout history isnt enough reparations solve genocide caused,sadness
polar bears deserve respect deserve deserve treated way reason kill animals disgusts humans exist cause harm hope one day collective effort stop growing genocide gentle humble creatures,disgust
take look story forest decimated happening monkeys sad think would interested reading government nothing stop deforestation anything protect monkeys know local us still sad thing read,sadness
take look story found online forest fires spread couple different states pretty interesting know sent pictures happening around might also interested reading story happening place,neutral
remember telling trouble sleeping lately maybe take look article found online sleep paralysis affecting guy hope help little bit going,neutral
another example domestic gun violence happening america know feel strongly issue figured might want read article found sad story get guns street stories going keep coming,sadness
remember story told neighbor paul old neighborhood served iraq come home ptsd found article explains pretty good think might interested reading deal new coworker similar issues,neutral
feel like entraprenerurship future apparently making quit job get unemployment benefits pretty awesome guess want encourage people start unique businesses effort diversify workfroce country pretty cool ask,joy
hey feel like trump winning way worse people thought amount violent attacks minorites general increased considerably attacks since election day imagine hate trunp supporters somehow feel vindicated awful racism,anger
feel like police force getting kinda control killings recently seem hear news nowadays recently charged officer shot unarmed black driver outside vehicle like police even care anymore really scary,fear
dude seriously cannot believe happened zoo long ago kid fell moat may fell barrier wow must terrifying family gorilla picked boy carried little bit actually ended shooting gorilla sad,surprise
believe much manipulation went behind scenes donald trumps campaign feel like never know true extend corrupt whole deal first hear huge collections data get idots defend climate change fake,anger
really think everyone read article story shows perfectly damaging dangerous guns people sides law country needs make harder everyone able obtain gun especially true involved domestic sexual abuse incidents,sadness
sad needed get people pay attention immense damage continuing done global warming something affect order matter things lot important coffee fix instance people like people story whose livelihoods put danger global warming,sadness
disgusting many know animal lover much makes sad upset angry like instance animal suffering man unforgivable hope mental illness cannot think reason someone would something cruel,disgust
surprise every year past couple decades hottest year record know many people take irrefutable scientific evidence like still question outright deny global warming happening makes angry killing planet many people simply stupid admit happening fix,anger
sad many know use lab often sweetest loving dogs around cannot imagine someone would take gun shoot one another example seem countless happen everyday people guns know people say person still another needless murder occurred gun,sadness
crash sad hear involves undeserving people sound like even bus driver fault people trying get need something terrible happened sad could happen anyone anytime never know might go wrong world,sadness
sad terrible alternative medicine manufacturers take advantage people many people believe things healthier make feel better traditional medication clearly make things worse companies pray uneducated people leads terrible outcomes people deserve health problems,sadness
natural disasters like scary could literally happen anytime one ever knows especially earthquakes sad see historic buildings areas destroyed event even sad knowing people got injured things fair life never see coming,sadness
absolutely hate seeing kind violent racism world many people think someone different less worthy life honestly terrible feels like seeing everyday humans really need come together realize reason cause harm pain,anger
unfortunate family father son probably trying nice together research area well enough pay proper attention many things could go wrong case seemed gone wrong feel bad world pretty unforgiving,sadness
person rented appartment feel wrong didnt place damages came wasnt able fix problems making owners problem led finding file law suite get money back messy situtation,neutral
feel racism still alive today big problem people need realize color doesnt matter humans feeling one person better reguardless color skin stronger laws helping fight racism also teaching kids ok call people names cause skin color need work nation fix problem,sadness
think mr mayweather pay money back still neckless give neckless back store price tag like company could really need money million alot money company get also know money pay neckless im sure doesnt pay rest balance go court pay fees,anger
feel like need somthing problem going dont need moms overdoseing drugs plus driving maybe program could start help mom need kids taken care someone else getting help need get better get kids back able take care,sadness
think need better job taking care forest water ways rely surive killing animals fish wrong way start go away could big impact us time could late anything need put laws help animals also help allow us fish right way taking shortcut,neutral
heart hurts affected praying soldiers attacked families approach memorial day need reflect learned past wars one thing clear mustard gas weapon used understand many attacks going right include guerrilla warfare cannot fight back ways,sadness
think many us troubled recent relations russia suspicion rigging us election cahoots potus trump hacking need sort details make sure using facts available suspicions sometimes unfounded heart goes agent family,sadness
someone works healthcare encountered type thing yet everyone embarrassing story er may seen exact thing likely seen crazier go always tell people embarrassing experience third person much better losing limb organ life,sadness
need recognize global warming real acknowledge part globe need take note work together great barrier reef one planet amazing wonders need protect amazon absolutely fantastic improved quality conservation,fear
think need remember important things psychologists psychiatrists hard times sometimes people sent treat manipulative point fooled family friends professionals years also acknowledge underlying mental health issues may taken advantage used criminal organizations,neutral
check news article absolutely infuriating sort thing would happen yet big oil gas company specifically bp ineffable ineptitude constantly leads environmental disasters someone put stop bs let completely destroy habitat earth,anger
could someone treat intelligent creature horribly think people would figure superior right health happiness animals earth think people would ashamed chance getting caught acting like actually audacity treat another living creature despicably,sadness
shame seeing sort rise violence shock years right bullying left tolerating intolerance come point people even trying hide racism anymore intentionally making shit worse justify oppressive agendas,anger
people take something like relationships granted infuriating world fight right marry person love adore want pamper cherish share life assholes like anger issues get alleged partner face shout hate mind blowing,anger
believe live world domestic looming threat public dangerous ever convoluted sociological web conservative ideology promoted domestic terrorism white heterosexual american masculinity xenophobia inspired islamic terrorism damned much hate world hopefully people find love nurturing like author book found writing trauma,anger
hi mike hope hard days need friend hope taking care dangers going us people country leaving aside must teach family waiting hope well see soon mike,joy
drake hope enjoying new life stay new york hope enjoy new stage life working journalist hope see soon big television network read articles biggest national newspapers hope good friend see later take good care,joy
hello andrea know weeks since went japan hope good especially careful remember different country different ethnicity things different hope take care everything since lot prostitution away evils good friend later,fear
hello brother learning news happy already sacrament happy completing dream playing nba great time know take advantage great opportunity take care succeed really proud,joy
hello brother hope well days thought lot see news find saudi arabia struggling expand territory matter pado take care dangerous careful hope take care think us,fear
hey man believe sea ice lowest level read article seems like keeps going lower lower feel really worried animals depend sea ice polar bears think really need plus read really bad impact climate ice reflects much sun energy without even heat sun gets get reflected definitely something watch worry,sadness
ugh another big fight edinburgh city seems kinds problems like plus kids parents kids fighting attacking people street disgusting happy victim badly hurt unless kids face consequences think parents held liable kids stop acting way obviously fault parents failing take control kids,disgust
man veterans need help article talks lot americans problems especially vets sleeping imagine sleeping problem carry many areas lives like work interpersonal relationships even thought able establish specific link link ptsd problems sleeping given huge consequences ptsd,neutral
think timeshares silly article confirms article talks hard people get rid timeshares timeshare salesmen pushy first sign one imagine hard get one glad timeshare never sure many tiny provisions contracts make really difficult get successfully,anger
disgusting wish international community would step stop atrocities continuing happen one international community seems care sad like another rwanda happening right front us one wants spend money anything seen another third world backwater things need change international order completely forgotten,disgust
surprise people rhony kind trashy hard believe married person would something like really sound like big deal either could done much worse even lose money would guess,surprise
end well people improve country taking shortcut moving better country result host country suffering best citizens work hard improve country give leave lots blood shed many countries migrants seek live,neutral
kkk filled losers sure get attention actually know exactly get attention makes trump look bad since goal media pass chance kkk irrelevant decades still case media make look relevant,anger
getting old sad hope pull many people never reach feel bad also probably lived life many us dream might sound wrong probably forget minutes life goes already spent time thinking ever think,sadness
lost sympathy really quick seems like likes attention make look paris differently seem like inside jobs would safe still plan visiting fan people endorsing candidates countries vote seems like ego thing,anger
horribly read sheer number people dying every day trying escape boats quite alarming think people one country equaling people dying gang violence major crime ridden societies people attempting escape via water open borders enough simply help get place safer obviously isnt exacly fault especially kids money help probably open borders bring help find peaceful way thehri lives,sadness
born son tested elevated lead levels blood live near chicago bit scared tried help learn stick things mouth lead damage reversible lived old house think every day people drinking water much lead indicated bit disturbing going cheap fix,fear
terrible story go far blame entire religion actions hope happened paris never happens simply need bit security people eyes open attitudes entire religion people consider unfortunate ways rallying countries behind one cause peace,sadness
nice story people level need protect nature protecting birds excellent way giving back especiailly since endangered commend person trying really hard protect one species committing would difficult time choosing hel pwith person doesnt,joy
say specifically care election would rather someone besides two main parties win also personally dont like trump find rather bombastic idiot wish hillary wuold though particularly want either hope takes stress election becoming better leader,joy
understand country say love adore yet others come many stipulations even succeed jumping hoops forced even guidelines behind unfortunate refugees feel unsafe ultimately feel like refugees rest lives,anger
parent feel definitely one responsibilities teach children importance loving taking care environment without wilderness animals nowhere live without wilderness animals forced live want remember ones living environment environment invading lives must take care order make sure sustainable environment children children,neutral
reading article write share see crazy parents telling children slow every chance get young men something absolutely loved closest friends opportunity grow old continue enjoy many things come young whole lives ahead imagine families feeling right hug little ones little tighter tonight,sadness
headlines read days believe horrid news taking lives lately worry men women go train kind thing end happening drop hat responsible helps children without parents pays everything surrounding funerals costs,sadness
got better solution come make sure deaths stopped least decreased understand making sure elephants safe people take priority well people fearing lives country country another country come offer assistance,surprise
bus driver going business supporting community life taken senseless needless act taxi driver aguek nyok helped passengers escape area meaning get haircut kicked bus door three times managing break open people back trying get bus get front flames told courier mail newspaper open back door kicked came running one two get people going die mr nyok said three children among passengers brisbane lord mayor graham quirk said sad day council wider community flags,sadness
india kashmir teenager blinded pellets photographer abid bhat describes life year old insha mushtaq lost vision eyes hit pellets indian administered kashmir want ask security personnel fired pellets fault miss mushtaq says stands window sitting pellets blinded hospitals past three months attempt regain vision nothing worked far remains hopeful ms mushtaq says wanted become doctor losing vision brings text books show flips pages though cannot read anymore feel says tearfully,neutral
tensing later fired tensing testified feared going killed prosecutors said repeatedly evidence contradicted story judge megan shanahan said saturday jury whites two blacks spent two hours deliberating saturday morning getting sleep still could reach decision obvious made sincere conscientious effort judge said setting new hearing date nov determine whether case tried county prosecutor joe deters said decide within next two weeks whether try case attorney al gerhardstein represents dubose family said want another trial understand jury reach conclusion video,neutral
